[control]player_id,Cluster
018B0D8D-B5EC-09D6-90ED-550058EBFEAF,4.0
06F9F8CE-9696-23CA-25B5-000AA4A793BA,4.0
09FCECC4-F94E-ED69-5E9B-3223B590A149,3.0
0A221ADF-C99E-307E-7B65-92EF9DABA6C4,4.0
0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308,2.0
0AD33010-1AC1-E9FB-2FD4-313E3DF4692D,3.0
0B5863F1-A482-C95D-EA42-9183B5BDFA12,4.0
0D759376-3F10-1BEB-7205-E91B8BF17984,3.0
0F3B2D98-51FE-5265-3746-A0763DE31C98,2.0
10FFF83C-FD48-DCA7-E554-491C3C1E3EC6,3.0
14027B3A-0AD6-CBA3-A600-42B3C0A4D933,2.0
165B40B2-D9B2-DBC0-AE48-02C0F49A609F,3.0
172A62AD-9B69-33E2-1551-9526879D80AC,3.0
1AE03BA6-E346-DEB8-4865-276ECC5CD9B1,2.0
1F6A56CA-9C73-442F-2682-BB69E4B03AB2,4.0
1FA97947-2FB7-D626-8CD3-2426BEEE97D1,4.0
243FE25F-E451-21F6-7EFA-F9DACC7D31CA,3.0
2656C6B4-988A-A958-5107-5422027AEE1D,3.0
27C12E79-B4DD-AA48-E99E-552C6BAEBA6F,1.0
2C636222-CB43-AB6F-444A-7278047991C7,4.0
35FEE4B0-EF25-110F-8D86-5410FA57646B,4.0
37249306-1597-DC6D-3544-6FEDBBF8B848,4.0
3C54E0F5-9C12-3137-9EC1-39645770F53A,2.0
3FC0B5B3-AC42-BF96-D8EE-10E81EAAACF6,4.0
4690C2DC-C0B5-6C1B-880A-D31C46C8A565,3.0
46A9A47E-EDE3-2EF4-2F06-E95AF67D57E1,2.0
47494449-E68E-E554-8BB1-ECEEE432E269,4.0
48847236-6E23-6E61-57CD-780C68FAA2C2,4.0
48D32E40-ABB9-E3FB-185C-8A5AA0C44CBF,3.0
4B423110-8A54-A87F-39BB-D68BF033C7FC,3.0
4BD5749B-A1D2-E6C9-156F-DF107802D3BE,3.0
4BFAECAC-0CC2-F9AC-17BB-7343BE737D81,3.0
4CAE9D77-C8A8-2EE8-53D0-7C3C6331B2C5,3.0
5690E95B-9747-B2B5-2EE1-16A72200D5CC,3.0
58CB3C5E-2F5C-31FE-83E8-C6772D99B8D5,3.0
5CD23052-9069-615B-22B2-CB8E9A2413C9,2.0
5E491E0A-C580-29BE-4329-ED7BFF843D0D,1.0
5F222604-CB86-1ABA-EB7B-31FF78B7BE93,1.0
62A1F053-1EA8-7433-090E-89D450314F41,3.0
647C581E-E72F-0765-F94A-065909B99374,1.0
66E9719B-D383-AA87-7FAB-D9B4ABE7011C,2.0
68339CF4-6AFB-7EFB-40EA-238612F8E5A4,1.0
6B1E25A6-882B-DDD7-CE4F-4EC17A0906CF,4.0
6B690AF9-8440-1C43-B353-FA85266AA12C,4.0
6C9454F6-2AA4-4C25-0387-C6CA7AFC4C13,4.0
6E42D32E-048C-D829-197E-7950E78F58CB,2.0
70432028-81AF-D67A-251E-D2F807AB93CF,2.0
718078D1-70DB-2916-366D-1119A22DCD7F,2.0
72B642AD-2D4A-574F-05EC-EC93C0C52335,1.0
7417E7AB-C723-0958-F8EE-DDA4DED65165,4.0
761D024F-3C62-5326-601A-88D436C7726A,3.0
